ADANA,ADIYAMAN,AFYON,AÐRI,AMASYA,ANKARA,ANTALYA,ARTVÝN,AYDIN,BALIKESÝR,BÝLECÝK,BÝNGÖL,BÝTLÝS,BOLU,BURDUR,BURSA,ÇANAKKALE,ÇANKIRI,ÇORUM,DENÝZLÝ,DÝYARBAKIR,EDÝRNE,ELAZIÐ,ERZÝNCAN,ERZURUM,ESKÝÞEHÝR,GAZÝANTEP,GÝRESUN,GÜMÜÞHANE,HAKKARÝ,HATAY,ISPARTA,ÝÇEL,ÝSTANBUL,ÝZMÝR,KARS,KASTAMONU,KAYSERÝ,KIRKLARELÝ,KIRÞEHÝR,KOCAELÝ,KONYA,KÜTAHYA,MALATYA,MANÝSA,KAHRAMANMARAÞ,MARDÝN,MUÐLA,MUÞ,NEVÞEHÝR,NÝÐDE,ORDU,RÝZE,SAKARYA,SAMSUN,SÝÝRT,SÝNOP,SÝVAS,TEKÝRDAÐ,TOKAT,TRABZON,TUNCELÝ,ÞANLIURFA,UÞAK,VAN,YOZGAT,ZONGULDAK,AKSARAY,BAYBURT,KARAMAN,KIRIKKALE,BATMAN,ÞIRNAK,BARTIN,ARDAHAN,IÐDIR,YALOVA,KARABÜK,KÝLÝS,OSMANÝYE,DÜZCE
579,696,497,830,92,241,733,740,839,776,556,732,924,352,663,625,896,156,,716,763,844,610,459,649,474,634,368,526,1231,730,628,572,614,820,849,196,281,825,220,503,419,552,530,804,554,858,861,841,296,374,324,579,466,172,950,267,284,746,178,504,590,771,609,1059,108,412,330,548,530,166,863,1045,379,849,940,568,310,693,659,397
760,1096,223,1519,808,475,220,1456,126,285,397,1287,1479,605,150,434,484,606,716,,1285,692,1147,1148,1338,355,972,1084,1225,1669,951,165,708,639,224,1538,720,708,709,648,528,410,285,1049,208,952,1297,145,1396,627,646,1040,1295,491,888,1468,889,900,664,852,1220,1279,1109,150,1614,690,674,552,1247,519,550,1381,1480,734,1560,1629,499,666,1009,847,560
525,205,1098,441,699,908,1082,550,1408,1426,1212,144,207,1099,1191,1281,1552,919,763,1285,,1591,153,408,324,1130,313,690,527,471,509,1141,594,1361,1425,527,952,590,1572,724,1250,881,1198,249,1409,369,95,1393,257,671,718,733,703,1213,817,187,957,479,1493,587,628,277,176,1214,370,703,1168,746,449,814,837,100,282,1135,554,544,1315,1066,372,438,1144
1169,1438,684,1639,901,683,912,1532,658,407,477,1541,1733,492,804,419,216,727,844,692,1591,,1440,1268,1458,554,1354,1160,1323,2040,1360,803,1162,230,534,1658,740,1001,62,867,341,892,584,1342,539,1274,1679,757,1650,958,1027,1116,1371,378,964,1778,912,1121,140,1015,1296,1399,1491,632,1868,898,561,904,1357,1005,758,1691,1862,650,1641,1749,406,626,1413,1256,447
492,282,960,496,546,757,1049,544,1270,1281,1061,142,334,948,1053,1130,1401,766,610,1147,153,1440,,267,318,979,344,563,400,624,476,1003,561,1210,1287,521,799,439,1421,573,1099,743,1057,98,1271,320,248,1292,251,520,567,592,576,1062,664,340,804,326,1342,434,501,136,319,1076,469,550,1015,595,396,742,686,253,435,982,548,612,1164,913,403,405,993
678,547,939,371,367,683,1058,408,1271,1200,989,273,465,776,1054,1049,1320,615,459,1148,408,1268,267,,190,916,609,296,133,772,741,1004,747,1038,1262,390,620,442,1249,572,927,744,994,363,1246,585,503,1293,382,521,568,325,309,890,446,557,592,248,1170,306,234,131,574,1051,600,472,836,596,155,743,608,470,652,803,412,481,992,734,668,670,821
808,529,1129,184,557,873,1248,226,1461,1390,1179,180,349,966,1244,1239,1510,805,649,1338,324,1458,318,190,,1106,637,366,203,616,792,1194,877,1228,1452,203,810,632,1439,762,1117,934,1184,414,1436,636,419,1483,266,711,758,410,379,1080,562,446,718,438,1360,496,304,243,500,1241,414,662,1026,786,125,933,798,377,541,993,230,294,1182,924,696,721,1011
688,977,144,1287,566,233,424,1214,478,302,82,1119,1311,290,302,151,422,364,474,355,1130,554,979,916,1106,,893,842,983,1590,879,301,680,324,411,1306,478,540,535,406,213,338,78,881,395,813,1218,500,1228,497,566,798,1053,176,646,1317,647,672,456,610,978,1047,1030,217,1446,448,359,443,1005,451,308,1230,1401,448,1323,1397,211,424,937,775,245
212,150,785,754,607,671,769,863,1095,1113,975,457,520,862,878,1044,1312,701,634,972,313,1354,344,609,637,893,,724,742,697,196,828,281,1124,1112,840,815,353,1335,487,1013,568,885,246,1096,80,325,1080,570,434,417,714,918,976,725,496,865,426,1256,495,843,478,137,901,683,528,939,477,738,501,600,409,508,954,867,857,1078,886,63,125,907
728,710,865,547,324,609,1101,372,1207,1092,881,546,712,668,1031,941,1212,524,368,1084,690,1160,563,296,366,842,724,,163,979,820,996,797,930,1188,566,487,492,1141,582,819,787,920,544,1172,644,785,1229,629,571,618,44,211,782,196,809,352,298,1062,263,136,427,794,977,777,470,703,646,241,793,534,743,904,670,481,657,884,601,783,749,713
