EventID,Ajans,Tarih_UTC,Enlem,Boylam,Derinlik,Buyukluk,Ulke,Sehir
370507,DDA,2017-05-02 22:47:31,35.7701,26.744,8.38,4,-,-
370414,DDA,2017-05-01 18:09:05,38.2635,42.9258,11.66,4.1,Türkiye,Van
370398,DDA,2017-05-01 16:30:40,38.2651,42.9285,12.44,4.5,Türkiye,Van
369170,DDA,2017-04-21 14:12:21,38.6313,27.5873,13.2,4.9,Türkiye,Manisa
369153,DDA,2017-04-21 13:09:20,38.7923,29.0526,5.71,4.9,Türkiye,Manisa
369041,DDA,2017-04-20 14:11:24,39.3975,28.463,10.59,4.2,Türkiye,Balikesir
368972,DDA,2017-04-19 11:23:11,38.636,27.6258,21.92,4.2,Türkiye,Manisa
368902,DDA,2017-04-18 22:40:54,37.5431,42.6735,14.16,4,Türkiye,Sirnak
368412,DDA,2017-04-13 16:22:16,37.1533,28.647,11.33,5,Türkiye,Mugla
368037,DDA,2017-04-08 21:30:59,38.708,43.5396,14.54,4.2,Türkiye,Van
368011,DDA,2017-04-08 14:37:37,39.209,24.05,7.1,4.1,-,-
367925,DDA,2017-04-07 13:23:40,35.187,23.469,43.1,4.2,-,-
367892,DDA,2017-04-07 04:43:46,40.1786,22.8578,7.17,4.3,-,-
367763,DDA,2017-04-05 15:43:33,38.5463,22.4373,7,4.3,Yunanistan,Fokis
367642,DDA,2017-04-04 13:00:37,38.6271,27.5836,18.4,4,Türkiye,Manisa
367501,DDA,2017-04-03 09:05:41,38.4801,31.7975,13.84,4,Türkiye,Konya
367500,DDA,2017-04-03 08:56:08,34.387,24.447,48.4,4.1,-,-
367411,DDA,2017-04-02 05:32:42,38.6275,27.5718,12.56,4.3,Türkiye,Manisa
367137,DDA,2017-03-30 05:12:33,35.278,25.217,91.6,4.1,Yunanistan,Heraklion
367059,DDA,2017-03-29 18:10:43,38.2003,31.0575,14.87,4,Türkiye,Isparta
366964,DDA,2017-03-28 21:53:30,38.2868,37.1816,12,4,Türkiye,Kahramanmaras
366611,DDA,2017-03-24 15:19:06,39.5541,26.1126,9.65,4.2,Türkiye,Çanakkale
366587,DDA,2017-03-24 08:54:24,40.0175,42.2395,7.08,4.1,Türkiye,Erzurum
366573,DDA,2017-03-24 04:24:34,37.684,23.986,101.6,4.2,Yunanistan,Attica
366235,DDA,2017-03-20 14:39:44,38.6226,39.7938,16.6,4,Türkiye,Elazig
366212,DDA,2017-03-20 07:00:18,39.5446,26.1765,4.6,4.3,Türkiye,Çanakkale
366041,DDA,2017-03-18 18:15:27,34.5671,32.1398,56.34,4.5,-,-
365759,DDA,2017-03-15 23:29:46,35.9203,27.5306,26.56,4.4,-,-
365228,DDA,2017-03-10 22:23:42,37.578,38.5076,9.34,4,Türkiye,Adiyaman
365028,DDA,2017-03-08 20:09:58,39.965,27.6536,15.03,4.1,Türkiye,Balikesir
364315,DDA,2017-03-03 23:16:51,35.097,25.2201,7.04,4.4,Yunanistan,Heraklion
363993,DDA,2017-03-02 17:03:02,37.578,38.4998,7.71,4,Türkiye,Adiyaman
363885,DDA,2017-03-02 11:18:16,37.5823,38.4915,6.94,4.4,Türkiye,Adiyaman
363884,DDA,2017-03-02 11:16:54,37.5833,38.4873,7.58,4.2,Türkiye,Adiyaman
363883,DDA,2017-03-02 11:07:25,37.5955,38.4866,9.76,5.5,Türkiye,Adiyaman
363584,DDA,2017-02-28 23:27:34,39.492,26.0968,10.71,4.7,Türkiye,Çanakkale
363533,DDA,2017-02-28 12:47:35,39.574,23.339,10,4.4,-,-
363444,DDA,2017-02-27 22:52:23,39.4975,26.0835,10.47,4,Türkiye,Çanakkale
363358,DDA,2017-02-26 23:38:28,35.188,23.185,16.5,4.2,-,-
363246,DDA,2017-02-25 21:06:04,37.0066,36.0965,3.75,4.4,Türkiye,Osmaniye
362936,DDA,2017-02-23 01:55:14,39.5486,26.1225,9.48,4.3,Türkiye,Çanakkale
362571,DDA,2017-02-19 17:36:42,37.5161,42.6993,14.97,4.1,Türkiye,Sirnak
362356,DDA,2017-02-17 23:00:58,36.3736,41.2923,15.54,4.1,Suriye,Al-Hasakah
